File /eos/project/c/cmsweb/www/reco-prof/circles/data/CMSSW_12_4_0_pre2/slc7_amd64_gcc10/11834.21/step3.root Events 400
Branch Name | Average Uncompressed Size (Bytes/Event) | Average Compressed Size (Bytes/Event) 
muons:muPFSumDRIsoValueGamma04 (doubleedmValueMap) 137.62 45.8425
softPFMuonBJetTags: (recoJetedmRefToBaseProdTofloatsAssociationVector) 576.085 45.735
multi5x5PreshowerClusterShape:multi5x5PreshowerYClustersShape (recoPreshowerClusterShapes) 123.04 45.595
muons:muPFMeanDRIsoValueNeutral04 (doubleedmValueMap) 137.748 45.51
muons:muPFSumDRIsoValueNeutral04 (doubleedmValueMap) 137.705 45.3375
lowPtGsfElectronID: (floatedmValueMap) 93.135 45.295
muons:muPFMeanDRIsoValueChargedAll03 (doubleedmValueMap) 137.875 45.0675
particleFlowSuperClusterOOTECAL:particleFlowBasicClusterOOTECALPreshower (recoCaloClusters) 105.535 44.8075
reducedHcalRecHits:hfreco (HFRecHitsSorted) 79.5675 44.78
ctppsLocalTrackLiteProducer: (CTPPSLocalTrackLites) 105.132 44.3375
particleFlowSuperClusterOOTECAL:particleFlowBasicClusterOOTECALEndcap (recoCaloClusters) 105.017 44.33
muons:muPFSumDRIsoValueChargedAll03 (doubleedmValueMap) 137.833 43.895
muons:muPFMeanDRIsoValueNeutralHighThreshold04 (doubleedmValueMap) 138.3 43.2425
muons:muPFSumDRIsoValueNeutralHighThreshold04 (doubleedmValueMap) 138.257 43.08
muons:muPFMeanDRIsoValueCharged03 (doubleedmValueMap) 137.748 42.73
hfEMClusters: (recoSuperClustersToOnerecoHFEMClusterShapesAssociation) 79.07 41.675
muons:muPFSumDRIsoValueCharged03 (doubleedmValueMap) 137.705 41.6275
uncleanedOnlyGsfElectronCores: (recoGsfElectronCores) 102.082 41.525
multi5x5PreshowerClusterShape:multi5x5PreshowerXClustersShape (recoPreshowerClusterShapes) 123.04 40.285
tevMuons:firstHit (recoTracksToOnerecoTracksAssociation) 81.89 39.905
muons:muPFMeanDRIsoValueGamma03 (doubleedmValueMap) 137.662 39.885
tevMuons:default (recoTracksToOnerecoTracksAssociation) 81.745 39.72
tevMuons:picky (recoTracksToOnerecoTracksAssociation) 81.455 39.42
muons:muPFSumDRIsoValueGamma03 (doubleedmValueMap) 137.62 39.1525
tevMuons:dyt (recoTracksToOnerecoTracksAssociation) 81.165 39.13
muons:muPFSumDRIsoValueNeutral03 (doubleedmValueMap) 137.705 37.6675
muons:muPFMeanDRIsoValueNeutral03 (doubleedmValueMap) 137.748 37.64
hfRecoEcalCandidate: (recoRecoEcalCandidates) 86.9175 37.18
